keyword,date,sentiment_score,articles_count
Artificial Intelligence,2025-08-22,-0.4047433866776251,2
Artificial Intelligence,2025-08-23,-0.1145968404729064,2
Artificial Intelligence,2025-08-24,-0.7051713606006514,2
Artificial Intelligence,2025-08-26,-0.3305997772736315,3
Artificial Intelligence,2025-08-27,-0.8,1
Artificial Intelligence,2025-08-28,-0.6,1
Artificial Intelligence,2025-08-29,0.0615971777758555,2
Artificial Intelligence,2025-08-30,-0.0601162154208098,1
Artificial Intelligence,2025-08-31,-0.5,1
Artificial Intelligence,2025-09-01,-0.6252351285328394,2
Artificial Intelligence,2025-09-02,-0.7,1
Artificial Intelligence,2025-09-03,0.0,1
Artificial Intelligence,2025-09-04,-0.6710819395094778,4
Artificial Intelligence,2025-09-05,-0.9688826224809504,2
Artificial Intelligence,2025-09-07,-0.7214142678609329,1
Artificial Intelligence,2025-09-08,0.7,1
Artificial Intelligence,2025-09-09,-0.9721316752338144,2
Artificial Intelligence,2025-09-11,0.0,1
Artificial Intelligence,2025-09-12,0.0,1
Artificial Intelligence,2025-09-13,-1.0,2
Artificial Intelligence,2025-09-14,-0.7131212519156012,4
Artificial Intelligence,2025-09-15,-1.0,3
Artificial Intelligence,2025-09-16,-1.0,1
Artificial Intelligence,2025-09-17,-1.0,1
Artificial Intelligence,2025-09-18,-1.0,1
Artificial Intelligence,2025-09-19,-1.0,4
Artificial Intelligence,2025-09-20,-1.0,1
Artificial Intelligence,2025-09-21,-1.0,2
Artificial Intelligence,2025-09-29,0.0,1
Market,2025-08-22,0.1944446512167712,1
Market,2025-08-23,0.8,1
Market,2025-08-24,0.2575120052956486,3
Market,2025-08-25,-0.6,1
Market,2025-08-27,-0.35,1
Market,2025-08-28,-0.0099862943749597,3
Market,2025-08-29,-0.3981612101206329,4
Market,2025-08-30,-0.5350090026899438,2
Market,2025-08-31,0.5466192111903709,2
Market,2025-09-01,0.1940585847766524,1
Market,2025-09-03,0.1587075237234463,1
Market,2025-09-06,-0.3796405372172933,4
Market,2025-09-07,-0.4,1
Market,2025-09-08,-0.1395093206877937,2
Market,2025-09-09,-0.1384413201840908,5
Market,2025-09-10,0.0,1
Market,2025-09-11,-0.6531968799082837,1
Market,2025-09-12,-0.8447932526376538,2
Market,2025-09-13,-0.7737940934094589,1
Market,2025-09-14,-0.3079527484646285,2
Market,2025-09-15,0.1,1
Market,2025-09-16,-0.8555468731023529,3
Market,2025-09-17,-0.3696522069689129,1
Market,2025-09-18,-0.9673055344621952,1
Market,2025-09-19,-0.5,1
Market,2025-09-21,-0.5530384205844798,3
Market,2025-09-25,0.0,1
Technology,2025-08-22,0.0,1
Technology,2025-08-23,-0.8202639534600006,3
Technology,2025-08-24,-1.0,2
Technology,2025-08-25,-0.6697062772881732,4
Technology,2025-08-26,-0.7031421439399551,1
Technology,2025-08-29,-1.0,3
Technology,2025-08-30,0.8,1
Technology,2025-08-31,0.0,1
Technology,2025-09-01,-0.4432039547613476,2
Technology,2025-09-02,-0.7454489401097617,2
Technology,2025-09-03,0.0,1
Technology,2025-09-04,0.0,1
Technology,2025-09-05,0.7,1
Technology,2025-09-06,-1.0,1
Technology,2025-09-07,-1.0,1
Technology,2025-09-08,-1.0,5
Technology,2025-09-09,0.6,1
Technology,2025-09-10,-1.0,1
Technology,2025-09-11,0.0,1
Technology,2025-09-12,-1.0,2
Technology,2025-09-13,-1.0,3
Technology,2025-09-14,-1.0,5
Technology,2025-09-15,-1.0,1
Technology,2025-09-16,-1.0,2
Technology,2025-09-17,-1.0,2
Technology,2025-09-18,-1.0,3
Technology,2025-09-19,-0.7,1
Technology,2025-09-20,-1.0,1
Technology,2025-09-21,-1.0,2
Technology,2025-09-25,0.0,1
Trending,2025-08-22,-0.6653666128392832,1
Trending,2025-08-25,-0.5604775647396257,4
Trending,2025-08-26,-0.1222748653836451,2
Trending,2025-08-27,-0.0325741556517237,1
Trending,2025-08-29,-0.5970319505558992,2
Trending,2025-08-30,-0.5851475029177192,3
Trending,2025-08-31,-0.6810223084408056,1
Trending,2025-09-01,-0.5257218895590123,3
Trending,2025-09-02,0.0,1
Trending,2025-09-03,0.1382807224643203,1
Trending,2025-09-05,-0.1923435131794807,1
Trending,2025-09-06,-1.0,1
Trending,2025-09-07,-0.3643835887132934,3
Trending,2025-09-08,-0.0714263233613277,3
Trending,2025-09-09,-0.6423915636613964,2
Trending,2025-09-10,0.6333333333333333,1
Trending,2025-09-11,-0.8669176220043482,3
Trending,2025-09-12,-0.8,1
Trending,2025-09-13,-0.7691849314480772,2
Trending,2025-09-14,0.6,1
Trending,2025-09-15,0.0,1
Trending,2025-09-16,-0.0646460549645583,3
Trending,2025-09-17,0.1555463187530316,3
Trending,2025-09-18,0.8,1
Trending,2025-09-19,-0.5594294654978006,3
Trending,2025-09-20,-0.7183298736525344,3
Trending,2025-09-21,-0.0175976908282956,4
Trending,2025-09-25,0.0,1
